customer_id,first_name,last_name,age,masked_email,country,city,postal_code,masked_phone,registration_date,last_login_date
60,Nicholas,Tran,22,w***@example.org,Luxembourg,Newmanmouth,74668,*********34,2024-02-01 00:00:00,2025-03-30 00:00:00
61,Suzanne,Matthews,23,t***@example.org,Mongolia,New Mary,51508,*********14,2025-06-10 00:00:00,2025-07-04 00:00:00
62,Anthony,Nelson,59,w***@example.net,Wallis and Futuna,Reynoldsshire,87096,*********31,2024-07-16 00:00:00,2025-01-23 00:00:00
63,Patrick,Gilbert,74,s***@example.com,Viet Nam,Jamesburgh,65809,**********68,2022-10-20 00:00:00,2023-08-03 00:00:00
64,Kevin,Snyder,73,j***@example.com,Liberia,West Johnathanbury,94990,*********39,2024-03-03 00:00:00,2024-12-19 00:00:00
65,Stephanie,Murray,18,s***@example.net,Bangladesh,Chambersberg,83513,*********19,2023-05-20 00:00:00,2024-11-09 00:00:00
66,Eduardo,Barry,77,m***@example.org,India,Brittneyhaven,67310,*********51,2024-12-03 00:00:00,2025-03-24 00:00:00
67,Kevin,Patrick,60,j***@example.org,Philippines,Lake John,23366,*********71,2025-01-01 00:00:00,2025-05-16 00:00:00
68,Janet,Harris,20,r***@example.net,Colombia,Markmouth,15437,*********09,2024-02-29 00:00:00,2024-08-09 00:00:00
69,Lawrence,Allen,45,w***@example.net,Iceland,Carlsonshire,50794,*********55,2023-04-18 00:00:00,2025-03-15 00:00:00
70,Michelle,Crane,50,y***@example.net,Madagascar,Ortizfort,54978,*********25,2023-10-11 00:00:00,2024-08-14 00:00:00
71,Natalie,Woods,23,k***@example.com,Oman,Port Christophershire,30938,*********72,2023-09-24 00:00:00,2025-05-24 00:00:00
72,Derek,Brady,50,r***@example.net,Brunei Darussalam,East Dustin,42718,*********49,2024-12-03 00:00:00,2025-04-03 00:00:00
77,Nicholas,Miller,38,d***@example.org,Mauritania,Ricebury,00956,*********63,2023-11-09 00:00:00,2025-05-16 00:00:00
90,Joseph,Thomas,21,r***@example.com,Slovenia,West Johnathanbury,94990,*********24,2023-01-07 00:00:00,2023-09-08 00:00:00
92,Jeanette,Gonzales,58,m***@example.net,Luxembourg,Lake Kevin,33620,*********79,2025-05-15 00:00:00,2025-06-08 00:00:00
94,Hannah,Hernandez,61,w***@example.org,Brazil,West Larry,60182,**********75,2023-11-25 00:00:00,2024-12-29 00:00:00
